tensor_name,shape,total_parameters,mean_val,std_val,min_val,max_val,sample_first_5_values
embedding.weight,"[100, 32]",3200,0.0005256316508166492,0.0889054536819458,-1.495585322380066,0.7359834313392639,"[-3.064029030497295e-08, 3.860711572656328e-08, -2.6477637860011782e-08, -7.754910313906294e-08, 1.2671434035382845e-07]"
lin0.weight,[2048],2048,-0.002459077164530754,0.1417078673839569,-0.6721578240394592,0.733706533908844,"[0.01802554354071617, 0.2913990020751953, 0.06313010305166245, 0.19582416117191315, -0.3747459948062897]"
lin0.bias,[64],64,0.000544259324669838,0.09276872128248215,-0.2761618494987488,0.222623810172081,"[-0.14221248030662537, 0.06431533396244049, 0.08692646026611328, -0.005189073272049427, -0.026203202083706856]"
interactions.0.convolution.lin0.weight,[6144],6144,-0.008701063692569733,0.22621333599090576,-2.0316526889801025,1.9693793058395386,"[5.545407466556185e-10, 6.149623477114119e-09, 7.018346792619923e-09, 1.7960146703188684e-09, -7.21591009167355e-10]"
interactions.0.convolution.lin0.bias,[64],64,0.001218357589095831,0.11196833848953247,-0.28005748987197876,0.3482133746147156,"[0.21432095766067505, 0.008695121854543686, -0.004747540224343538, 3.735255086212419e-05, -0.007907126098871231]"
interactions.0.convolution.convolution.weight,[61440],61440,0.0005734235164709389,0.09189526736736298,-1.7988017797470093,1.787072777748108,"[0.30291488766670227, -0.003110626246780157, 0.5320236682891846, 0.34885039925575256, -0.022032827138900757]"
interactions.0.lin0.weight,[16384],16384,-0.004862240049988031,0.18186838924884796,-1.3017263412475586,1.0879642963409424,"[-0.3808172643184662, 0.07393879443407059, -0.3117592930793762, -0.0022712768986821175, -0.002592480508610606]"
interactions.0.lin0.bias,[64],64,-0.0009366776794195175,0.058114100247621536,-0.19855113327503204,0.14756028354167938,"[-0.053639523684978485, 0.05642788112163544, -0.030650626868009567, 0.005779210012406111, -0.02577594481408596]"
interactions.1.convolution.lin0.weight,[6144],6144,0.006900552660226822,0.4951176345348358,-3.682405471801758,3.35483717918396,"[-6.470825653082102e-09, -8.373547411011373e-10, 1.9594482980611616e-10, -5.792325730169523e-09, 3.3383109609985695e-09]"
interactions.1.convolution.lin0.bias,[64],64,0.006930604577064514,0.15209247171878815,-0.3848184049129486,0.39534181356430054,"[0.0842205137014389, 0.2177978754043579, -0.0018232890870422125, -0.3836152255535126, 0.025116248056292534]"
interactions.1.convolution.convolution.weight,[61440],61440,-0.000674636394251138,0.2756786048412323,-2.0368406772613525,2.077744483947754,"[-0.19507445394992828, -0.013519423082470894, 0.03784667328000069, 0.021587004885077477, 0.06472441554069519]"
interactions.1.lin0.weight,[16384],16384,-0.010729517787694931,0.21891355514526367,-1.197037696838379,1.0100730657577515,"[-0.7931386232376099, -0.002121687401086092, 0.06587232649326324, -0.2959519028663635, -0.024662373587489128]"
interactions.1.lin0.bias,[64],64,-0.007749894633889198,0.03130149841308594,-0.14761878550052643,0.06064532324671745,"[0.06064532324671745, 0.05481303855776787, 0.00752369174733758, -0.024818679317831993, -0.014128236100077629]"
interactions.2.convolution.lin0.weight,[6144],6144,0.004456681665033102,0.7840678095817566,-4.360893249511719,6.721578121185303,"[9.440557224849044e-10, -4.991639990237218e-09, 6.7192500452506465e-09, 6.077073066990124e-09, -1.3391079356495084e-09]"
interactions.2.convolution.lin0.bias,[64],64,0.09953241050243378,0.25716012716293335,-0.757839560508728,0.9803629517555237,"[0.062119804322719574, 0.04974760860204697, -0.00751134566962719, 0.018729092553257942, 0.45725932717323303]"
interactions.2.convolution.convolution.weight,[61440],61440,-0.0009682680247351527,0.2784222364425659,-2.143831968307495,2.7582380771636963,"[0.11469107866287231, -0.04383993148803711, -0.12713521718978882, 0.1252395212650299, 0.03869282081723213]"
interactions.2.lin0.weight,[16384],16384,-0.010757866315543652,0.2244575023651123,-2.3572287559509277,2.2974038124084473,"[-0.8174952864646912, -0.13545817136764526, -0.1378466933965683, 0.04661200940608978, 0.10888350009918213]"
interactions.2.lin0.bias,[64],64,0.004330412484705448,0.029936213046312332,-0.04428306594491005,0.07959175109863281,"[-0.036264821887016296, 0.06166473776102066, 0.011974560096859932, -0.009398000314831734, -0.007368749473243952]"
interactions.3.convolution.lin0.weight,[6144],6144,0.002898041857406497,0.7547537684440613,-4.53217887878418,5.991164207458496,"[1.8575292415334843e-09, 3.3983642566681738e-09, 1.5446487422465793e-09, -4.5547796645450944e-09, 3.648936930389368e-09]"
interactions.3.convolution.lin0.bias,[64],64,0.05711771920323372,0.2664639949798584,-1.1120758056640625,1.2445169687271118,"[0.019683467224240303, 0.001701080473139882, -0.023759739473462105, 0.05018250644207001, -0.18625697493553162]"
interactions.3.convolution.convolution.weight,[61440],61440,-0.0003566998348105699,0.277395099401474,-3.0524752140045166,4.295578479766846,"[0.029163626953959465, -0.051766540855169296, 0.2574068307876587, 0.10148310661315918, 0.025426942855119705]"
interactions.3.lin0.weight,[16384],16384,-0.009758315980434418,0.24582205712795258,-2.2129907608032227,2.349398612976074,"[-0.7999464273452759, -0.0807102620601654, -0.18842115998268127, 0.09415366500616074, 0.04695019870996475]"
interactions.3.lin0.bias,[64],64,0.007561115548014641,0.03608362004160881,-0.09619410336017609,0.10264093428850174,"[0.04201124235987663, 0.038730453699827194, 0.05389713495969772, 0.03226729854941368, -0.009683987125754356]"
interactions.4.convolution.lin0.weight,[6144],6144,-0.019277453422546387,0.5664137601852417,-3.2048189640045166,3.489234209060669,"[-1.606148880561875e-09, 4.46507941731511e-09, 1.909229219165809e-09, 1.140698646651117e-09, 3.651793090142519e-09]"
