Chemical_Formula,Snapshot_Frame_Count
BaHf4O12PbSr2,3
Ba2Hf4O12PbSr,3
Ba2Hf4O12Sr2,3
Ca4O12Ti2Zr2,3
Ca4HfO12Ti2Zr,3
Ca4Hf2O12Ti2,3
Ca4HfO12TiZr2,3
Ca4Hf2O12TiZr,3
Ca4Hf2O12Zr2,3
Ca2O12Sr2Ti3Zr,3
Ca2HfO12Sr2Ti3,3
Ca2O12Sr2TiZr3,3
Ca2Hf3O12Sr2Ti,3
Ca2HfO12Sr2Zr3,3
Ba2Ca2O12Ti2Zr2,3
Ba2Ca2HfO12Ti2Zr,3
Ba2Ca2Hf2O12Ti2,3
Ba2Ca2HfO12TiZr2,3
Ba2Ca2Hf2O12TiZr,3
Ba2Ca2Hf2O12Zr2,3
BaO12Pb2SrTi4,2
Ca3O12PbTi3Zr,2
Ca3HfO12PbTi3,2
Ca3O12PbTiZr3,2
Ca3Hf3O12PbTi,2
Ca3HfO12PbZr3,2
Ca3Hf3O12PbZr,2
Ca3O12SrTi3Zr,2
Ca3HfO12SrTi3,2
Ca3O12SrTiZr3,2
Ca3Hf3O12SrTi,2
Ca3HfO12SrZr3,2
Ca3Hf3O12SrZr,2
BaCa3O12Ti3Zr,2
BaCa3HfO12Ti3,2
BaCa3O12TiZr3,2
BaCa3Hf3O12Ti,2
BaCa3HfO12Zr3,2
BaCa3Hf3O12Zr,2
Ca2Hf3O12Sr2Zr,2
BaCa2O12SrTi3Zr,2
BaCa2HfO12SrTi3,2
BaCa2O12SrTiZr3,2
BaCa2Hf3O12SrTi,2
BaCa2HfO12SrZr3,2
BaCa2Hf3O12SrZr,2
CaO12Pb3Ti3Zr,2
CaHfO12Pb3Ti3,2
CaO12Pb3TiZr3,2
CaHf3O12Pb3Ti,2
CaHfO12Pb3Zr3,2
CaHf3O12Pb3Zr,2
CaO12PbSr2Ti3Zr,2
CaHfO12PbSr2Ti3,2
CaO12PbSr2TiZr3,2
CaHf3O12PbSr2Ti,2
CaHfO12PbSr2Zr3,2
CaHf3O12PbSr2Zr,2
Ba2CaO12PbTi3Zr,2
Ba2CaHfO12PbTi3,2
Ba2CaO12PbTiZr3,2
Ba2CaHf3O12PbTi,2
Ba2CaHfO12PbZr3,2
Ba2CaHf3O12PbZr,2
Ca4O12Zr4,1
Ca3O12PbZr4,1
Ca3O12SrZr4,1
BaCa3O12Zr4,1
CaO12Pb3Zr4,1
CaO12Sr3Zr4,1
Ba3CaO12Zr4,1
O12Pb4Zr4,1
O12Pb3SrZr4,1
BaO12Pb3Zr4,1
O12PbSr3Zr4,1
Ba3O12PbZr4,1
O12Sr4Zr4,1
BaO12Sr3Zr4,1
Ba3O12SrZr4,1
Ba4O12Zr4,1
Ca4O12Ti4,1
Ca3O12PbTi4,1
Ca3O12SrTi4,1
BaCa3O12Ti4,1
CaO12Pb3Ti4,1
CaO12Sr3Ti4,1
O12Pb4Ti4,1
O12Pb3SrTi4,1
BaO12Pb3Ti4,1
O12PbSr3Ti4,1
Ba3O12PbTi4,1
O12Sr4Ti4,1
Ba3O12SrTi4,1
Ba4O12Ti4,1
Ca4Hf4O12,1
Ca3Hf4O12Pb,1
Ca3Hf4O12Sr,1
BaCa3Hf4O12,1
CaHf4O12Pb3,1
CaHf4O12Sr3,1
Ba3CaHf4O12,1
Hf4O12Pb4,1
Hf4O12Pb3Sr,1
