weight_index,weight_value
0,0.3029149
1,-0.0031106262
2,0.53202367
3,0.3488504
4,-0.022032827
5,-0.25729266
6,0.090989456
7,-0.020594511
8,-1.0465133
9,-0.04580463
10,-0.24917434
11,0.291222
12,-0.23855641
13,-0.6859409
14,-0.058197323
15,-0.0013568852
16,0.4560957
17,-0.19934078
18,-0.51611835
19,0.104227096
20,0.41131583
21,-0.06180904
22,0.9984148
23,0.533134
24,-0.24919456
25,-0.017996395
26,-0.00078217714
27,0.059781294
28,-0.073726386
29,0.53819495
30,-0.186848
31,0.2895375
32,0.007828824
33,0.0071704406
34,0.0052639716
35,-0.30424428
36,0.1484367
37,0.016484005
38,0.05335205
39,0.20149222
40,-0.33351165
41,0.031662006
42,0.30331805
43,-0.0069814217
44,0.29227656
45,-0.36169076
46,0.039975356
47,0.42350563
48,-0.2138192
49,0.52175444
50,0.32375082
51,0.4221761
52,-0.28236878
53,0.092183575
54,-0.06706194
55,-0.88732547
56,-0.12070254
57,0.48314527
58,-0.11048356
59,0.56840926
60,-0.38419312
61,0.21181436
62,-0.04549378
63,0.35237646
64,0.05046721
65,0.02437669
66,0.05668744
67,0.48599693
68,-0.08175423
69,-0.016646175
70,0.075929575
71,0.07742939
72,-0.106690556
73,0.24490644
74,-0.13488096
75,-0.024824047
76,0.017070604
77,0.034833804
78,0.04739695
79,0.006264456
80,-0.0008137055
81,0.012238482
82,-0.052145865
83,-0.06762753
84,0.12630735
85,-0.017020838
86,-0.07167476
87,0.06572208
88,0.053942528
89,-0.0457998
90,-0.22534801
91,-0.03413179
92,0.049129315
93,-0.058228496
94,0.034718856
95,-0.1482985
96,0.08277391
97,-0.10368434
98,-0.02785879
99,-0.020997295
100,-0.0135385245
101,-0.07592825
102,-0.09500115
103,0.059643384
104,-0.083006345
105,0.05269498
106,0.0068678977
107,-0.1447421
108,-0.054796297
109,0.097091384
110,0.0006435446
111,-0.042690765
112,0.002207909
113,0.13115813
114,0.005442376
115,-0.031053541
116,-0.0023514878
117,-0.050996788
118,-0.059799768
119,-0.05183328
120,-0.05277417
121,0.015379586
122,-0.05874539
123,-0.09227578
124,0.09382764
125,0.019267585
126,0.022120254
127,-0.022661256
128,0.15950808
129,-0.011754735
130,0.07173851
131,-0.05265299
132,0.27760902
133,0.5247554
134,-0.17912307
135,0.027899414
136,-0.061081707
137,0.36223266
138,-0.1144213
139,-0.20097005
140,-0.15831238
141,-0.1277967
142,-0.142282
143,-0.020495942
144,-0.20808718
145,0.050863985
146,-0.081521645
147,0.19902882
148,-0.034396943
149,0.04342811
150,0.09022137
151,0.1749894
152,0.0050295284
153,0.008065124
154,-0.023039524
155,-0.0022594838
156,0.25215346
157,-0.0060313568
158,-0.032482445
159,-0.2889892
160,-0.3523088
161,0.15415369
162,0.00045571785
163,-0.04133786
164,-0.44183028
165,0.074628115
166,-0.04788534
167,-0.027944343
168,-0.22904718
169,-0.35703707
170,0.059029482
171,-0.13992935
172,0.0036426783
173,0.50502735
174,-0.0025069148
175,0.29340807
176,0.015778005
177,0.11872617
178,-0.19600892
179,0.23428468
180,-0.20582986
181,-0.01709892
182,-0.011221281
183,-0.08683629
184,-0.027887827
185,-0.15330176
186,-0.019207353
187,0.03719865
188,-0.03012252
189,-0.08128072
190,0.01987138
191,0.058404062
192,-0.010167983
193,0.009420037
194,-0.13778332
195,-0.3570732
196,0.098673694
197,-0.39447236
198,-0.0648935
199,-0.1567734
200,0.08778746
201,-0.039937858
202,0.17907105
203,0.3546497
204,-0.075191565
205,0.18739699
206,0.07859978
207,0.01487767
208,0.052734654
209,-0.15805718
210,0.16158375
211,-0.3488902
212,-0.05244137
213,0.0010891999
214,0.09766478
215,0.10097584
216,0.23679768
217,-0.002046643
218,0.15438426
219,0.04781033
220,-0.11709636
221,0.26348773
222,-0.06910553
223,0.6424576
224,0.1678864
225,-0.09954756
226,-0.051539157
227,-0.07069437
228,0.2695764
229,0.028554793
230,-0.2178214
231,-0.08596298
232,-0.15465753
233,-0.3533983
234,0.016106863
235,-0.03369302
236,-0.027371015
237,-0.69613063
238,0.08697566
239,0.20614196
240,-0.03076469
241,-0.00567441
242,0.14351301
243,0.04556977
244,0.051506534
245,0.011870087
246,0.12731287
247,-0.123751245
248,-0.39152387
249,0.25573337
250,0.11681148
251,-0.015259622
252,-0.46628675
253,0.1989217
254,0.018046593
255,0.018052338
256,0.11881532
257,0.015457059
258,0.06398614
259,-0.06787292
260,0.25685307
261,0.36071303
262,-0.19443478
263,-0.032445434
264,-0.054424234
265,0.34029642
266,-0.13598822
267,-0.12630756
268,-0.10453604
269,-0.05937193
270,-0.0847015
271,-0.00735044
272,-0.0826034
273,0.027434386
274,-0.040920023
275,0.114800535
276,0.03234063
277,-0.031328533
278,-0.019496148
279,0.12997384
280,0.005963772
281,-0.015861072
282,0.022189032
283,0.029543526
284,0.09415117
285,0.032122653
286,-0.016504489
287,-0.30945158
288,-0.22169374
289,0.05035621
290,0.0016770614
291,-0.032232217
292,-0.3917158
293,0.07380872
294,-0.10733297
295,0.0020023878
296,-0.18085203
297,-0.21544012
298,0.023768922
299,-0.3263986
300,-0.02015017
301,0.5411765
302,-0.0061375746
303,0.27888897
304,-0.050195806
305,0.08835529
306,-0.22912998
307,0.15747532
308,-0.07971947
309,-0.010127809
310,-0.060929567
311,-0.10762803
312,-0.043618623
313,-0.0967624
314,-0.06563614
315,0.0841041
316,-0.0891075
317,-0.11118013
318,0.00981204
319,0.05168565
320,0.0087326
321,-0.015180173
322,-0.034098566
323,0.37639996
324,0.009776653
325,0.037257954
326,-0.013548295
327,0.055640593
328,-0.019305246
329,0.301085
330,-0.007878929
331,-0.067053996
332,-0.017861156
333,-7.2864874e-05
334,-0.081666134
335,0.013274017
336,-0.04905359
337,0.012854723
338,-0.024522223
339,0.04919486
340,0.033538613
341,0.0073206015
342,-0.044800002
343,-0.045292012
344,-0.025498372
345,-0.011139711
346,-0.04895114
347,0.004655764
348,0.050122026
349,0.030189537
350,0.0061454135
351,-0.026413523
352,-0.08644211
353,0.011827626
354,0.004553472
355,0.01717644
356,-0.024437174
357,0.0020892194
358,-0.0309184
359,-0.0059378124
360,-0.018423969
361,0.014296048
362,-0.0015868228
363,-0.0016334055
364,0.0056401757
365,0.10112164
366,-0.018459013
367,-0.0043391483
368,-0.019714031
369,-0.012731105
370,-0.035847817
371,0.031343274
372,0.08054766
373,0.0047096414
374,-0.027027635
375,-0.008804051
376,0.054446332
377,-0.009852975
378,0.0032113704
379,0.05042027
380,0.05727346
381,-0.046333555
382,-0.0021039196
383,0.012223853
384,-0.215224
385,-0.0063710436
386,-0.19168478
387,0.498515
388,0.019098463
389,-0.4403727
390,-0.09155965
391,-0.07116547
392,0.34427324
393,0.028745536
394,0.43325293
395,0.45081428
396,0.39303812
397,-0.030120421
398,0.3406146
399,-0.004614134
400,0.44476876
401,-0.59855914
402,0.68543047
403,0.030008735
404,0.34387514
405,-0.042114645
406,-0.38315034
407,0.18484838
408,-0.22733751
409,0.22200733
410,-0.03372064
411,0.26829675
