Index,Material_ID,Formula,Atoms,Elements,Max_Diag_BEC_e
106,aaaegulp,RbNdS2,4,"Nd, Rb, S",4.581
107,aaaegult,PtO2,3,"O, Pt",4.116
108,aaaegunp,InP,2,"In, P",2.533
109,aaaegunr,RbYS2,4,"Rb, S, Y",4.261
110,aaaegurb,CsCdCl3,5,"Cd, Cl, Cs",2.72
111,aaaegusg,PbS,2,"Pb, S",4.38
112,aaaeguso,PrTlSe2,4,"Pr, Se, Tl",4.47
113,aaaegutt,CsCl,2,"Cl, Cs",1.255
114,aaaeguvy,RbCaH3,5,"Ca, H, Rb",1.757
115,aaaeguwb,K2Pt,3,"K, Pt",1.9
116,aaaeguwn,SnSe2,3,"Se, Sn",5.122
117,aaaeguwv,K2Te2Pt,5,"K, Pt, Te",1.82
118,aaaeguxu,Si,2,Si,0.0
119,aaaeguyl,PbI2,3,"I, Pb",3.988
120,aaaeguyr,Ba(CdP)2,5,"Ba, Cd, P",3.965
121,aaaeguyw,KNa2Sb,4,"K, Na, Sb",3.069
122,aaaeguzj,LuTlSe2,4,"Lu, Se, Tl",4.244
123,aaaegvac,RbNdSe2,4,"Nd, Rb, Se",4.652
124,aaaegvgu,ZrSnPd,3,"Pd, Sn, Zr",3.476
125,aaaegvgw,ZnO,2,"O, Zn",2.141
126,aaaegvhj,K2Te,3,"K, Te",1.91
127,aaaegvhv,Xe,4,Xe,0.0
128,aaaegvit,Sr3PN,5,"N, P, Sr",4.525
129,aaaegviu,KCl,2,"Cl, K",1.125
130,aaaegvkb,NbSbRu,3,"Nb, Ru, Sb",7.489
131,aaaegvkr,XeF2,3,"F, Xe",3.917
132,aaaegvlf,RbErS2,4,"Er, Rb, S",4.325
133,aaaegvmk,Na2Se,3,"Na, Se",1.935
134,aaaegvna,BN,4,"B, N",2.704
135,aaaegvuj,ScSbPt,3,"Pt, Sb, Sc",2.83
136,aaaegvwg,KI,8,"I, K",1.184
137,aaaegvwh,ZrNiSn,3,"Ni, Sn, Zr",3.616
138,aaaegvwk,Kr,1,Kr,0.0
139,aaaegvwo,KTbS2,4,"K, S, Tb",4.418
140,aaaegvww,TiSnPd,3,"Pd, Sn, Ti",3.755
141,aaaegvxh,BeO,2,"Be, O",1.797
142,aaaegvxu,ZnTe,6,"Te, Zn",1.972
143,aaaegvye,TbSbPt,3,"Pt, Sb, Tb",1.989
144,aaaegvzz,HgF,4,"F, Hg",2.494
145,aaaegwab,InI,4,"I, In",2.66
146,aaaegwae,Ce2SeN2,5,"Ce, N, Se",5.683
147,aaaegwal,RbH,2,"H, Rb",1.033
148,aaaegwam,SrI2,12,"I, Sr",2.451
149,aaaegwbl,NaNbN2,4,"N, Na, Nb",9.183
150,aaaegwce,RbHoS2,4,"Ho, Rb, S",4.356
151,aaaegwcq,CdSe,2,"Cd, Se",2.244
152,aaaegwda,NbCoSn,3,"Co, Nb, Sn",5.848
153,aaaegwdd,Ge2O3,5,"Ge, O",4.535
154,aaaegwdi,Ar,2,Ar,0.0
155,aaaegwds,GeSe,2,"Ge, Se",7.36
156,aaaegwed,K2S,3,"K, S",1.936
157,aaaegwef,NaH,2,"H, Na",0.959
158,aaaegwfe,ErHSe,3,"Er, H, Se",3.139
159,aaaegwfn,PbF2,3,"F, Pb",3.214
160,aaaegwlu,ScAgS2,4,"Ag, S, Sc",4.508
161,aaaegwnr,TbSF,6,"F, S, Tb",4.01
162,aaaegwnz,CsGeBr3,5,"Br, Cs, Ge",4.635
163,aaaegwpa,LiMgAs,3,"As, Li, Mg",2.68
164,aaaegwpz,MgI2,3,"I, Mg",2.468
165,aaaegwqh,CsF,2,"Cs, F",1.328
166,aaaegwqo,CaSe,2,"Ca, Se",2.356
167,aaaegwre,KNaCl2,4,"Cl, K, Na",1.183
168,aaaegwsp,MgCdTe2,4,"Cd, Mg, Te",2.179
169,aaaegwtj,KH,2,"H, K",0.978
170,aaaegwtm,KZnAs,3,"As, K, Zn",3.292
171,aaaegwty,InCl,4,"Cl, In",2.489
172,aaaegwur,CoAuO2,4,"Au, Co, O",2.891
173,aaaegwvi,NaTbS2,4,"Na, S, Tb",4.403
174,aaaegwvm,NaI,2,"I, Na",1.183
175,aaaegwvo,AgBrO3,5,"Ag, Br, O",3.802
176,aaaegwwy,Li3Bi,4,"Bi, Li",2.897
177,aaaegwye,TlI,2,"I, Tl",2.065
178,aaaegwzp,MgSe,2,"Mg, Se",2.415
179,aaaegxay,LaAuO2,4,"Au, La, O",4.685
180,aaaegxbg,HoNiSb,3,"Ho, Ni, Sb",2.335
181,aaaegxca,KI,2,"I, K",1.135
182,aaaegxci,LiYS2,4,"Li, S, Y",4.225
183,aaaegxck,GaP,2,"Ga, P",2.126
184,aaaegxco,LiCuO2,4,"Cu, Li, O",4.094
185,aaaegxcs,Zr2SeN2,5,"N, Se, Zr",5.31
186,aaaegxde,LuTlS2,4,"Lu, S, Tl",4.186
187,aaaegxds,SrTe,2,"Sr, Te",2.397
188,aaaegxee,ScCoTe,3,"Co, Sc, Te",4.131
189,aaaegxej,TiFeTe,3,"Fe, Te, Ti",6.818
190,aaaegxfi,SrF2,3,"F, Sr",2.416
191,aaaegxfj,H2,2,H,0.0
192,aaaegxft,ZrAsIr,3,"As, Ir, Zr",4.544
193,aaaegxhb,CsDyS2,4,"Cs, Dy, S",4.391
194,aaaegxjn,SmTlSe2,4,"Se, Sm, Tl",4.424
195,aaaegxki,CaO,2,"Ca, O",2.361
196,aaaegxps,HgF2,3,"F, Hg",2.697
197,aaaegxqk,BeTe,2,"Be, Te",1.3
198,aaaegxrq,TlBr,2,"Br, Tl",1.934
199,aaaegxrt,LiMgP,3,"Li, Mg, P",2.666
200,aaaegxsa,Cs2HgO2,5,"Cs, Hg, O",2.729
201,aaaegxss,RbYO2,4,"O, Rb, Y",4.15
202,aaaegxtc,SnSe,2,"Se, Sn",5.219
