Index,Material_ID,Formula,Atoms,Elements,Max_Diag_BEC_e
427,aaaehjck,Ba2BrN,4,"Ba, Br, N",3.994
428,aaaehjlc,CuCl,4,"Cl, Cu",1.087
429,aaaehjle,RbSmTe2,4,"Rb, Sm, Te",4.755
430,aaaehjmp,AcF3,4,"Ac, F",4.288
431,aaaehjmq,Ga2AsP,4,"As, Ga, P",2.271
432,aaaehjns,N2,4,N,0.0
433,aaaehjov,ScCuSe2,4,"Cu, Sc, Se",4.794
434,aaaehjpd,Ca(CdP)2,5,"Ca, Cd, P",3.326
435,aaaehjqb,Sr(MgBi)2,5,"Bi, Mg, Sr",3.121
436,aaaehjqh,NaNO3,5,"N, Na, O",2.802
437,aaaehjqt,KYS2,4,"K, S, Y",4.275
438,aaaehjrf,LiYSe2,4,"Li, Se, Y",4.272
439,aaaehjrh,KTmO2,4,"K, O, Tm",4.142
440,aaaehjrp,NaBiSe2,4,"Bi, Na, Se",6.128
441,aaaehjxg,CsHgF3,5,"Cs, F, Hg",2.688
442,aaaehjyv,BeO,4,"Be, O",1.848
443,aaaehjzd,NaDyS2,4,"Dy, Na, S",4.369
444,aaaehkax,Tm2SO2,5,"O, S, Tm",3.833
445,aaaehket,PtS,4,"Pt, S",1.916
446,aaaehkgf,TmTlS2,4,"S, Tl, Tm",4.225
447,aaaehkgm,NaRhO2,4,"Na, O, Rh",3.203
448,aaaehkgy,K2PdSe2,5,"K, Pd, Se",2.572
449,aaaehkmi,Cs2HgTe,4,"Cs, Hg, Te",2.811
450,aaaehknh,KNdS2,4,"K, Nd, S",4.579
451,aaaehkpj,NaLi2Bi,4,"Bi, Li, Na",2.94
452,aaaehkpm,Ba2NCl,4,"Ba, Cl, N",3.984
453,aaaehkqs,Sr2SeS,4,"S, Se, Sr",2.486
454,aaaehkrg,CsCaF3,5,"Ca, Cs, F",2.434
455,aaaehkuq,RbTmS2,4,"Rb, S, Tm",4.3
456,aaaehkvk,YTlSe2,4,"Se, Tl, Y",4.197
457,aaaehkvp,Nd2SO2,5,"Nd, O, S",3.963
458,aaaehkwi,NaCoO2,4,"Co, Na, O",2.838
459,aaaehkwt,AcGaTe2,4,"Ac, Ga, Te",6.108
460,aaaehkxs,KPrO2,4,"K, O, Pr",4.496
461,aaaehkzh,ZnO,4,"O, Zn",2.163
462,aaaehkzv,CsRb2Bi,4,"Bi, Cs, Rb",3.051
463,aaaehlaf,BaLiH3,5,"Ba, H, Li",2.37
464,aaaehlat,ZnCdS2,4,"Cd, S, Zn",2.295
465,aaaehlbo,TmF3,4,"F, Tm",4.107
466,aaaehlcm,BN,4,"B, N",2.715
467,aaaehldn,Cs3Bi,4,"Bi, Cs",3.103
468,aaaehldp,Ca3BiN,5,"Bi, Ca, N",4.327
469,aaaehldz,NaNdS2,4,"Na, Nd, S",4.563
470,aaaehlef,NaTlO2,4,"Na, O, Tl",3.725
471,aaaehlgt,NaErO2,4,"Er, Na, O",4.151
472,aaaehlil,TmAgTe2,4,"Ag, Te, Tm",4.606
473,aaaehlim,Zn2SeS,4,"S, Se, Zn",2.125
474,aaaehlkg,YTlS2,4,"S, Tl, Y",4.163
475,aaaehlqx,Ba(MgAs)2,5,"As, Ba, Mg",3.304
476,aaaehlqy,SmPaO4,6,"O, Pa, Sm",7.34
477,aaaehlsi,NaYF4,6,"F, Na, Y",3.936
478,aaaehlss,PrHSe,6,"H, Pr, Se",3.595
479,aaaehlua,AlF3,4,"Al, F",2.959
480,aaaehlut,LuHSe,3,"H, Lu, Se",3.169
481,aaaehlvc,CdI2,3,"Cd, I",2.94
482,aaaehmuo,CdF2,3,"Cd, F",2.436
483,aaaehmuv,RbNdO2,4,"Nd, O, Rb",4.472
484,aaaehmve,K2PdC2,5,"C, K, Pd",2.7
485,aaaehmvg,BiTeI,3,"Bi, I, Te",5.463
486,aaaehmze,Sm2SO2,5,"O, S, Sm",3.933
487,aaaehmzg,RbBr,2,"Br, Rb",1.156
488,aaaehnyq,SrPbS2,4,"Pb, S, Sr",3.808
489,aaaehodb,Ca(CdAs)2,5,"As, Ca, Cd",3.471
490,aaaehodh,CsGeBr3,5,"Br, Cs, Ge",5.717
491,aaaehodv,KSmO2,4,"K, O, Sm",4.39
492,aaaehpdm,B,12,B,0.646
493,aaaehpep,S,24,S,0.245
494,aaaeiiys,Sc2O3,10,"O, Sc",5.664
495,aaaeiizp,Bi2O3,5,"Bi, O",4.982
496,aaaeijab,Al2O3,10,"Al, O",3.65
497,aaaeijad,SiO2,36,"O, Si",3.566
498,aaaeijao,Ho2O3,5,"Ho, O",3.862
499,aaaeijar,Y2O3,5,"O, Y",3.853
500,aaaeijdo,ZrO2,36,"O, Zr",6.22
501,aaaeijdy,MoS2,6,"Mo, S",1.087
502,aaaeijes,MgO,24,"Mg, O",2.004
503,aaaeijet,Ta2O5,7,"O, Ta",6.61
504,aaaeijfi,Ta2O5,14,"O, Ta",6.994
505,aaaeijfu,SrO,4,"O, Sr",2.591
506,aaaeijgn,SiO2,30,"O, Si",4.181
507,aaaeijgr,ZrO2,12,"O, Zr",6.08
508,aaaeijgt,MgO,8,"Mg, O",1.891
509,aaaeijgz,ThCl4,10,"Cl, Th",5.739
510,aaaeijhz,H2O,12,"H, O",1.592
511,aaaeijig,CsGe,32,"Cs, Ge",1.567
512,aaaeijii,Y2O3,30,"O, Y",4.162
513,aaaeijiv,Bi2O3,10,"Bi, O",4.808
514,aaaeijjf,ZrO2,30,"O, Zr",5.645
515,aaaeijjn,ErCl3,8,"Cl, Er",4.928
516,aaaeijjw,Al2O3,20,"Al, O",3.681
517,aaaeijki,SiO2,12,"O, Si",3.567
518,aaaeijlf,Na2CO3,12,"C, Na, O",2.768
519,aaaeijlk,SiO2,54,"O, Si",4.201
520,aaaeijls,RbF,2,"F, Rb",1.251
521,aaaeijly,Ca3V2O8,13,"Ca, O, V",3.736
522,aaaeijmp,FeSi2,24,"Fe, Si",7.295
523,aaaeijmv,ZrO2,9,"O, Zr",7.584
524,aaaeijmx,BeH2,18,"Be, H",1.239
525,aaaeijna,Bi2O3,20,"Bi, O",3.74
526,aaaeijnf,Er2O3,5,"Er, O",3.839
527,aaaeijni,SiO2,9,"O, Si",3.508
528,aaaeijnv,Y2O3,40,"O, Y",3.974
529,aaaeijon,Sc2O3,15,"O, Sc",4.203
530,aaaeijoq,HfO2,3,"Hf, O",5.535
531,aaaeijpg,TiO2,24,"O, Ti",7.248
532,aaaeijpi,Tm2O3,5,"O, Tm",3.811
533,aaaeijqa,Al2O3,40,"Al, O",3.04
534,aaaeijqc,Ta2O5,21,"O, Ta",9.494
535,aaaeijqg,SiO2,24,"O, Si",3.669
536,aaaeijqh,SiO2,60,"O, Si",4.237
537,aaaeijqq,HI,16,"H, I",2.031
538,aaaeijqz,BeAl2O4,28,"Al, Be, O",3.196
539,aaaeijrw,SiO2,12,"O, Si",3.9
540,aaaeijsn,CuI,4,"Cu, I",1.0
541,aaaeijsv,Na2SO4,28,"Na, O, S",3.251
542,aaaeijts,MgMoO4,24,"Mg, Mo, O",4.165
543,aaaeijus,Cs2O,6,"Cs, O",2.923
544,aaaeijuu,KErS2,4,"Er, K, S",4.316
545,aaaeijwf,MgO,4,"Mg, O",1.891
546,aaaeijwg,BaAl2O4,56,"Al, Ba, O",2.912
547,aaaeijwl,Al2O3,5,"Al, O",3.219
548,aaaeijww,In2O3,40,"In, O",3.387
549,aaaeijxz,SiO2,48,"O, Si",3.357
550,aaaeijyf,H2O,12,"H, O",1.595
551,aaaeijyg,DyCl3,8,"Cl, Dy",4.469
552,aaaeijyu,TiO2,12,"O, Ti",7.228
553,aaaeijzd,Bi2O3,20,"Bi, O",5.891
554,aaaeijzr,TiO2,12,"O, Ti",5.843
555,aaaeijzv,Li2O,12,"Li, O",1.92
556,aaaeikal,Na2O,9,"Na, O",1.93
557,aaaeikbc,TiO2,24,"O, Ti",7.511
558,aaaeikbu,Al2O3,20,"Al, O",3.143
559,aaaeikbw,Na2O,9,"Na, O",1.93
560,aaaeikdz,SiO2,36,"O, Si",3.506
561,aaaeikfr,Al2O3,20,"Al, O",3.092
562,aaaeikhg,SiO2,54,"O, Si",4.263
563,aaaeikiv,CsS,4,"Cs, S",1.275
564,aaaeikjz,HoHSe,3,"H, Ho, Se",3.132
565,aaaeikle,C,2,C,0.0
566,aaaeiklt,NdTlS2,4,"Nd, S, Tl",4.425
567,aaaeikoe,CuI,4,"Cu, I",1.014
568,aaaeikoh,TlCl,2,"Cl, Tl",1.871
569,aaaeikpf,ThO2,3,"O, Th",5.409
570,aaaeikps,SrO2,3,"O, Sr",2.676
571,aaaeikqf,LiDyS2,4,"Dy, Li, S",4.335
572,aaaeiksu,NaCl,2,"Cl, Na",1.091
573,aaaeiktr,YCuSe2,4,"Cu, Se, Y",4.331
574,aaaeiktu,UN2,3,"N, U",9.775
575,aaaeikuf,Rb2Te,3,"Rb, Te",1.936
576,aaaeikuo,Sr3AsN,5,"As, N, Sr",4.566
577,aaaeikvo,Ca2BrN,4,"Br, Ca, N",3.434
578,aaaeikxq,CaF2,3,"Ca, F",2.372
579,aaaeikxs,Li2Te,3,"Li, Te",1.922
580,aaaeikyd,CsBr,2,"Br, Cs",1.326
581,aaaeikzb,LiZnSb,3,"Li, Sb, Zn",3.05
582,aaaeikzv,Y2SO2,5,"O, S, Y",3.817
583,aaaeilbc,KLaTe2,4,"K, La, Te",4.544
584,aaaeilbt,RbScO2,4,"O, Rb, Sc",4.288
585,aaaeilbx,ThSbRh,3,"Rh, Sb, Th",3.67
586,aaaeilcl,CuBr,2,"Br, Cu",0.559
587,aaaeilee,ZnTe,4,"Te, Zn",2.001
588,aaaeilfo,BaHgO2,4,"Ba, Hg, O",2.916
589,aaaeilhd,LiZnP,3,"Li, P, Zn",2.781
590,aaaeilhp,InCuO2,4,"Cu, In, O",3.45
591,aaaeilix,ZnSe,4,"Se, Zn",2.068
592,aaaeilkq,SiPAu,3,"Au, P, Si",1.444
593,aaaeilmj,TbNiSb,3,"Ni, Sb, Tb",2.302
594,aaaeilnb,LiH,2,"H, Li",1.016
595,aaaeilnr,LiF,2,"F, Li",1.044
596,aaaeilpw,RbPaO3,5,"O, Pa, Rb",6.827
597,aaaeiltj,CsTmS2,4,"Cs, S, Tm",4.3
598,aaaeilwg,CsPaO3,5,"Cs, O, Pa",7.078
599,aaaeilxq,H2,4,H,0.0
600,aaaeimaq,NaTmS2,4,"Na, S, Tm",4.278
601,aaaeimco,CsCaBr3,5,"Br, Ca, Cs",2.476
602,aaaeimcp,CsSnCl3,5,"Cl, Cs, Sn",4.853
603,aaaeimfs,CsSrCl3,5,"Cl, Cs, Sr",2.421
604,aaaeimfz,LiBiS2,4,"Bi, Li, S",5.868
605,aaaeimja,KSmS2,4,"K, S, Sm",4.515
606,aaaeimlk,K2PtSe2,5,"K, Pt, Se",2.177
607,aaaeimlw,Cd2TeSe,4,"Cd, Se, Te",2.529
608,aaaeimnl,LiRhO2,4,"Li, O, Rh",3.346
609,aaaeimnm,KSmSe2,4,"K, Se, Sm",4.586
610,aaaeimod,YAgS2,4,"Ag, S, Y",4.213
611,aaaeimpo,LaAlO3,5,"Al, La, O",4.481
612,aaaeimqm,RbSmO2,4,"O, Rb, Sm",4.4
613,aaaeimsu,KNO3,5,"K, N, O",2.753
614,aaaeimuo,TlF,4,"F, Tl",2.006
615,aaaeimux,TlCl,4,"Cl, Tl",2.112
616,aaaeimvv,Dy2SO2,5,"Dy, O, S",3.871
617,aaaeimwl,RbCaF3,5,"Ca, F, Rb",2.366
618,aaaeimwx,Ba(MgBi)2,5,"Ba, Bi, Mg",3.428
619,aaaeinan,AlCuO2,4,"Al, Cu, O",3.051
620,aaaeinap,UO3,4,"O, U",8.777
621,aaaeinbt,SnTe2Pb,4,"Pb, Sn, Te",7.263
622,aaaeincf,Na2TlSb,4,"Na, Sb, Tl",5.96
623,aaaeindq,Li3N,4,"Li, N",2.754
624,aaaeindy,S,32,S,0.348
625,aaaeitia,NaLiTi3O7,24,"Li, Na, O",6.67
626,aaaeitxg,Sr2LaSbO6,20,"La, O, Sb",5.049
627,aaaeivul,KNaW(OF2)2,18,"F, K, Na",5.202
628,aaaeivyx,SnH4,10,"H, Sn",1.63
629,aaaeiwho,NaTbH2S2O9,45,"H, Na, O",4.294
630,aaaeiwhu,K3YV2O8,14,"K, O, V",5.222
631,aaaeiwrq,VInO4,12,"In, O, V",6.966
632,aaaeiwsx,CaSi(HO2)2,32,"Ca, H, O",3.057
633,aaaeixft,NaPrTiO4,14,"Na, O, Pr",5.573
634,aaaeixjf,Cs2W3SeO12,36,"Cs, O, Se",10.432
635,aaaeixjs,TaPO5,14,"O, P, Ta",7.693
636,aaaeixll,Pd(NO3)2,18,"N, O, Pd",3.287
637,aaaeixom,CeTi2O6,18,"Ce, O, Ti",7.467
638,aaaeiybe,RbTb2Ag3Te5,22,"Ag, Rb, Tb",4.54
639,aaaeiycm,Sr2ScSbO6,20,"O, Sb, Sc",5.072
640,aaaeiyhx,BiIrS,12,"Bi, Ir, S",4.498
641,aaaeiyrf,Na2CO3,12,"C, Na, O",2.794
642,aaaeizul,V2P2H2O11,34,"H, O, P",5.566
643,aaaejbgs,Sr2Bi2Se3O2,9,"Bi, O, Se",6.559
644,aaaejbtm,AgCS(OF)3,18,"Ag, C, F",3.251
645,aaaejcge,LaP3(HO2)6,22,"H, La, O",4.932
646,aaaejclq,CsV2I3O13,38,"Cs, I, O",10.149
647,aaaejcqr,PrHSO5,32,"H, O, Pr",4.201
648,aaaejctk,K2Zr(H2N)6,42,"H, K, N",5.069
649,aaaekkyu,Y6WO12,19,"O, W, Y",7.764
650,aaaekkyv,Cs3Bi2Cl9,14,"Bi, Cl, Cs",4.097
651,aaaekkzi,SbTeRu,12,"Ru, Sb, Te",6.846
652,aaaekkzw,AgPS3,10,"Ag, P, S",4.008
653,aaaeklan,DyRhO3,20,"Dy, O, Rh",4.281
654,aaaeklat,Tl6TeO6,13,"O, Te, Tl",6.724
655,aaaeklbs,NaTaO3,20,"Na, O, Ta",8.459
656,aaaeklcn,BaZnF4,12,"Ba, F, Zn",2.846
657,aaaeklde,ScOF,12,"F, O, Sc",4.002
658,aaaekldp,MgTa2O6,18,"Mg, O, Ta",7.804
659,aaaekldr,La3Sb4Au3,20,"Au, La, Sb",4.055
660,aaaekldx,NaZnF3,20,"F, Na, Zn",2.255
661,aaaekldz,RbAuCl4,12,"Au, Cl, Rb",1.714
662,aaaeklec,Li3CuS2,12,"Cu, Li, S",1.861
663,aaaeklej,CsAgBr2,8,"Ag, Br, Cs",1.572
664,aaaekleq,Nd(YS2)3,20,"Nd, S, Y",4.63
665,aaaeklfm,Li2HfO3,12,"Hf, Li, O",5.836
666,aaaeklfv,SmVO4,12,"O, Sm, V",4.992
667,aaaeklfy,ZnSeO4,12,"O, Se, Zn",3.916
668,aaaeklgi,AlPS4,12,"Al, P, S",4.166
669,aaaeklgn,CeTh2O6,9,"Ce, O, Th",5.911
670,aaaeklgp,BaSiN2,16,"Ba, N, Si",3.654
671,aaaeklha,Ba(AuO2)2,14,"Au, Ba, O",3.012
672,aaaeklhm,KSiH3,20,"H, K, Si",1.249
673,aaaeklkm,AlSbI6,16,"Al, I, Sb",3.421
674,aaaeklkx,BaHgS2,16,"Ba, Hg, S",3.833
675,aaaekllc,Na3BiO4,16,"Bi, Na, O",5.174
676,aaaekllt,Sr3(AlAs2)2,18,"Al, As, Sr",3.298
677,aaaeklmv,K(SbSe2)2,14,"K, Sb, Se",6.973
678,aaaeklnl,Li2IBr,4,"Br, I, Li",1.138
679,aaaeklnm,NaBH4,12,"B, H, Na",1.114
680,aaaeklov,ZrO2,12,"O, Zr",5.893
681,aaaekloz,InTeBr,12,"Br, In, Te",3.004
682,aaaeklpz,Pr(YS2)3,20,"Pr, S, Y",4.628
683,aaaeklql,Rb3AlO3,14,"Al, O, Rb",2.145
684,aaaeklqq,LaTeCl,12,"Cl, La, Te",4.363
685,aaaeklqt,LiBeH3,10,"Be, H, Li",1.091
686,aaaeklre,NaNbS6,16,"Na, Nb, S",2.765
687,aaaeklrf,KNaS,12,"K, Na, S",2.049
688,aaaeklrg,Sr(BrO3)2,18,"Br, O, Sr",2.996
689,aaaeklsl,PIrS,12,"Ir, P, S",3.666
690,aaaeklti,Sr(GaAs)2,20,"As, Ga, Sr",3.711
691,aaaekltt,Sr3(AsO4)2,13,"As, O, Sr",3.402
692,aaaeklue,SiO2,24,"O, Si",3.669
693,aaaekluf,K2HfF6,18,"F, Hf, K",4.733
694,aaaeklug,LiCaN,12,"Ca, Li, N",2.822
695,aaaekluj,CsSrCl3,20,"Cl, Cs, Sr",2.431
696,aaaeklwi,Ho2SO2,10,"Ho, O, S",3.862
697,aaaeklxa,Na5SbO5,11,"Na, O, Sb",5.705
698,aaaeklxc,GaClO,12,"Cl, Ga, O",2.729
699,aaaeklxd,Zr3GeO8,12,"Ge, O, Zr",5.918
700,aaaeklxo,Rb2Te,12,"Rb, Te",2.108
701,aaaeklxx,CuTe2Cl,16,"Cl, Cu, Te",2.324
702,aaaeklym,TbNbO4,12,"Nb, O, Tb",5.706
703,aaaeklyx,SrBiO3,20,"Bi, O, Sr",5.944
704,aaaeklzd,Si2CN4,14,"C, N, Si",5.461
705,aaaeklzv,NaHoO2,8,"Ho, Na, O",3.762
706,aaaeklzz,Na2BeH4,14,"Be, H, Na",1.142
707,aaaekmaf,Rb2CeO3,12,"Ce, O, Rb",5.739
708,aaaekmay,Ba3Nb2O8,13,"Ba, Nb, O",3.886
709,aaaekmbc,NdNbO4,12,"Nb, Nd, O",5.643
710,aaaekmbk,Sr3(InP2)2,18,"In, P, Sr",3.622
711,aaaekmbm,Cs3Pb4Au,16,"Au, Cs, Pb",2.028
712,aaaekmby,Nd3GaO6,20,"Ga, Nd, O",4.048
713,aaaekmce,RbHg5Cl11,17,"Cl, Hg, Rb",2.208
714,aaaekmcg,HgSeO3,20,"Hg, O, Se",2.871
715,aaaekmcs,NaBH4,12,"B, H, Na",1.114
716,aaaekmcu,Ba3V2O8,13,"Ba, O, V",3.507
717,aaaekmdi,Lu2S3,30,"Lu, S",5.136
718,aaaekmdp,Ho3ScO6,20,"Ho, O, Sc",4.596
719,aaaekmdq,Rb2GeF6,18,"F, Ge, Rb",3.364
720,aaaekmds,Al5CuS8,14,"Al, Cu, S",3.119
721,aaaekmee,RbCu2Br3,12,"Br, Cu, Rb",1.427
722,aaaekmei,CsTaCl6,16,"Cl, Cs, Ta",5.493
723,aaaekmfj,Zn(SbO3)2,18,"O, Sb, Zn",5.142
724,aaaekmfn,TiNb3O6,20,"Nb, O, Ti",8.389
725,aaaekmgd,BiSBr,12,"Bi, Br, S",5.785
726,aaaekmic,B2S2O9,13,"B, O, S",3.894
727,aaaekmim,Na3SbO4,16,"Na, O, Sb",4.966
728,aaaekmja,CuSe2Br,16,"Br, Cu, Se",1.847
729,aaaekmjc,PrBS3,20,"B, Pr, S",4.215
730,aaaekmjg,KAsO2,16,"As, K, O",3.135
731,aaaekmjj,Pb2OF2,20,"F, O, Pb",3.219
732,aaaekmjm,BaIBr,12,"Ba, Br, I",2.759
733,aaaekmju,SrTaF7,18,"F, Sr, Ta",5.237
734,aaaekmkd,K3ClO,10,"Cl, K, O",2.142
735,aaaekmlc,Na3DyCl6,20,"Cl, Dy, Na",3.522
736,aaaekmlh,Sb3ClO4,16,"Cl, O, Sb",4.908
737,aaaekmll,CaSnN2,16,"Ca, N, Sn",3.277
738,aaaekmlx,Rb2CdO2,20,"Cd, O, Rb",2.547
739,aaaekmme,Tm2CdSe4,14,"Cd, Se, Tm",3.783
740,aaaekmmf,AsRuSe,12,"As, Ru, Se",6.041
741,aaaekmmi,K2Sn2O3,14,"K, O, Sn",4.796
742,aaaekmmm,MgTi2O5,16,"Mg, O, Ti",5.96
743,aaaekmms,Cs3Ca2Cl7,12,"Ca, Cl, Cs",2.417
744,aaaekmne,CsAuO,12,"Au, Cs, O",2.04
745,aaaekmnt,K2Mg2O3,14,"K, Mg, O",2.145
746,aaaekmoa,SrHN,12,"H, N, Sr",2.68
747,aaaekmoz,Rb2Pb2O3,14,"O, Pb, Rb",4.524
748,aaaekmpn,Bi4PbS7,12,"Bi, Pb, S",7.368
749,aaaekmpw,Sc2CdSe4,14,"Cd, Sc, Se",3.864
750,aaaekmpz,HgTe,6,"Hg, Te",3.283
751,aaaekmqb,Sm(ErS2)3,20,"Er, S, Sm",4.674
752,aaaekmqf,KCuS,12,"Cu, K, S",1.66
753,aaaekmqh,TmVO4,12,"O, Tm, V",4.77
754,aaaekmrd,K3BiO4,16,"Bi, K, O",3.445
755,aaaekmrj,K2GeF6,9,"F, Ge, K",3.368
756,aaaekmrr,SrCO3,20,"C, O, Sr",2.821
757,aaaekmsm,ZnCd3Se4,8,"Cd, Se, Zn",2.341
758,aaaekmte,Sr3TeO6,20,"O, Sr, Te",4.896
759,aaaekmtg,CdWO4,12,"Cd, O, W",7.338
760,aaaekmtt,DyCuS2,16,"Cu, Dy, S",4.572
761,aaaekmtv,Al2PbS4,14,"Al, Pb, S",4.861
762,aaaekmul,TlAuCl4,12,"Au, Cl, Tl",1.966
763,aaaekmus,Ag3AsS3,14,"Ag, As, S",2.518
764,aaaekmvd,Ni(NF7)2,17,"F, N, Ni",2.124
765,aaaekmvo,InBiS3,10,"Bi, In, S",5.864
766,aaaekmvq,NbAlO4,12,"Al, Nb, O",6.816
767,aaaekmvv,Cs2HfO3,12,"Cs, Hf, O",4.84
768,aaaekmwm,Li4HN,12,"H, Li, N",2.415
769,aaaekmwn,BeSiN2,16,"Be, N, Si",3.277
770,aaaekmwo,InHO2,8,"H, In, O",3.442
771,aaaekmwy,Nd(HO)3,14,"H, Nd, O",3.978
772,aaaekmxm,HAuO2,8,"Au, H, O",3.197
773,aaaekmyc,Te6IrBr3,20,"Br, Ir, Te",3.184
774,aaaekmyg,CsPb2Cl5,16,"Cl, Cs, Pb",3.956
775,aaaekmyr,SrZnO2,16,"O, Sr, Zn",2.703
776,aaaekmzg,KBeF3,20,"Be, F, K",1.75
777,aaaekmzo,Cd(GaO2)2,14,"Cd, Ga, O",3.109
778,aaaekmzt,ZrO2,24,"O, Zr",5.655
779,aaaekmzw,Cd2As3I,12,"As, Cd, I",2.665
780,aaaeknae,Na3TbBr6,20,"Br, Na, Tb",3.558
781,aaaeknar,TlBiF4,12,"Bi, F, Tl",5.267
782,aaaeknat,Tm6WO12,19,"O, Tm, W",7.75
783,aaaeknay,NdCuSe2,16,"Cu, Nd, Se",4.862
784,aaaeknbh,Rb2CN2,15,"C, N, Rb",2.064
785,aaaeknbi,KSn2Cl5,16,"Cl, K, Sn",4.049
786,aaaeknby,HfZrS6,8,"Hf, S, Zr",5.651
787,aaaekncl,K2CdO2,20,"Cd, K, O",2.518
788,aaaekncw,SiPtSe,12,"Pt, Se, Si",3.708
789,aaaekndj,Cs3Bi2Br9,14,"Bi, Br, Cs",4.289
790,aaaekndo,Sr3GaN3,14,"Ga, N, Sr",3.35
791,aaaekndr,Y2MgS4,14,"Mg, S, Y",3.569
792,aaaekndv,Rb2TaF7,20,"F, Rb, Ta",4.755
793,aaaeknev,SbIrS,12,"Ir, S, Sb",4.21
794,aaaeknff,Tl4SiS4,18,"S, Si, Tl",3.027
795,aaaeknfl,CsSbCl6,16,"Cl, Cs, Sb",4.061
796,aaaeknfx,SbSBr,12,"Br, S, Sb",6.215
797,aaaekngf,Rb2Hg3Se4,18,"Hg, Rb, Se",2.917
798,aaaekngq,ZnCrO4,12,"Cr, O, Zn",3.815
799,aaaekngt,NaGaO2,16,"Ga, Na, O",2.659
800,aaaeknhv,RbCu3S2,12,"Cu, Rb, S",2.478
801,aaaeknhw,Cs3H5Pd,18,"Cs, H, Pd",1.303
802,aaaeknid,Mg(ScS2)2,14,"Mg, S, Sc",3.642
803,aaaeknio,Na2MoO4,14,"Mo, Na, O",3.31
804,aaaeknjj,SbTeIr,12,"Ir, Sb, Te",5.247
805,aaaeknke,NaTmO2,16,"Na, O, Tm",3.933
806,aaaeknkw,Cu2SiSe3,12,"Cu, Se, Si",2.873
807,aaaeknky,Rb3BP2,12,"B, P, Rb",2.89
808,aaaeknld,CaSeO3,20,"Ca, O, Se",3.306
809,aaaeknlg,Sr3V2O8,13,"O, Sr, V",3.482
810,aaaeknlj,Mg2GeO4,14,"Ge, Mg, O",3.177
811,aaaeknln,LiAlO2,16,"Al, Li, O",2.52
812,aaaeknlt,CaHfO3,20,"Ca, Hf, O",5.624
813,aaaeknlv,CoPS,12,"Co, P, S",4.213
814,aaaeknmk,PdPb2F6,18,"F, Pb, Pd",3.415
815,aaaeknnm,Li2GeO3,12,"Ge, Li, O",3.338
816,aaaeknnp,Lu2MgS4,14,"Lu, Mg, S",3.539
817,aaaeknoe,Bi2WO6,18,"Bi, O, W",9.743
818,aaaeknoq,Cs(SbS2)2,14,"Cs, S, Sb",6.331
819,aaaeknor,GeBi4Te7,12,"Bi, Ge, Te",8.236
820,aaaeknov,In2HgS4,14,"Hg, In, S",3.561
821,aaaeknpf,Cd2As3Br,12,"As, Br, Cd",2.487
822,aaaeknph,Rb2Sn2Se5,18,"Rb, Se, Sn",3.884
823,aaaeknpx,LiAg3O2,12,"Ag, Li, O",2.103
824,aaaeknqj,CaSO4,18,"Ca, O, S",3.818
825,aaaeknrf,CsClO4,6,"Cl, Cs, O",3.098
826,aaaeknrg,TlCdF3,5,"Cd, F, Tl",2.477
827,aaaeknrm,YCuS2,16,"Cu, S, Y",4.464
828,aaaeknrq,Ca3AsN,20,"As, Ca, N",4.112
829,aaaeknsg,Ca(AgO2)2,14,"Ag, Ca, O",2.71
830,aaaeknsh,Li2S,12,"Li, S",2.061
831,aaaeknsx,AlPS4,12,"Al, P, S",4.32
832,aaaekntk,CsSnI3,10,"Cs, I, Sn",5.862
833,aaaekntr,SiO2,24,"O, Si",3.201
834,aaaekntt,Y2Ge2O7,11,"Ge, O, Y",4.019
835,aaaeknub,Pr(HoS2)3,20,"Ho, Pr, S",4.709
836,aaaeknuo,Na5SbO5,11,"Na, O, Sb",5.449
837,aaaeknuu,K2Cd2O3,14,"Cd, K, O",2.848
838,aaaeknuw,MgZn3S4,8,"Mg, S, Zn",2.106
839,aaaeknux,Al2PbO4,14,"Al, O, Pb",3.454
840,aaaeknve,Na2Zn2O3,14,"Na, O, Zn",2.644
841,aaaeknvh,Na3DyBr6,20,"Br, Dy, Na",3.542
842,aaaeknvo,Mg(SbO3)2,18,"Mg, O, Sb",5.101
843,aaaeknwb,Li4SeO5,20,"Li, O, Se",4.464
844,aaaeknwl,Cd3(ClO)2,14,"Cd, Cl, O",2.581
845,aaaeknwr,Zn2IN,16,"I, N, Zn",2.574
846,aaaeknwz,K2TeO3,12,"K, O, Te",2.515
847,aaaeknxi,Li2B2S5,18,"B, Li, S",2.458
848,aaaeknxm,Sm2O3,5,"O, Sm",3.999
849,aaaeknxp,Sr(NdSe2)2,14,"Nd, Se, Sr",4.236
850,aaaeknxv,Sr(InTe2)2,14,"In, Sr, Te",3.828
851,aaaeknxy,Cd2SnO4,14,"Cd, O, Sn",4.458
852,aaaeknxz,Hg2SO4,14,"Hg, O, S",4.594
853,aaaeknyh,KHgF3,5,"F, Hg, K",2.563
854,aaaeknyn,YTaO4,12,"O, Ta, Y",5.574
855,aaaeknyo,ZrTl2S3,12,"S, Tl, Zr",6.896
856,aaaeknzs,Zn(InS2)2,14,"In, S, Zn",3.929
857,aaaeknzz,K3AlO3,14,"Al, K, O",2.066
858,aaaekoac,Cs2HgI4,14,"Cs, Hg, I",2.187
859,aaaekoae,SrLi4N2,14,"Li, N, Sr",2.974
860,aaaekoah,Na5Zr2F13,20,"F, Na, Zr",4.436
