Equivar_Z11,DFPT_Z11,Equivar_Z22,DFPT_Z22,Equivar_Z33,DFPT_Z33
2.4352638721466064,2.42577862739563,2.3381340503692627,2.3358495235443115,2.483828544616699,2.4734320640563965
2.421513080596924,2.42577862739563,2.3460147380828857,2.3358495235443115,2.488386392593384,2.4734320640563965
2.421513080596924,2.42577862739563,2.3460147380828857,2.3358495235443115,2.488386392593384,2.4734320640563965
2.4352638721466064,2.42577862739563,2.3381340503692627,2.3358495235443115,2.483828544616699,2.4734320640563965
-3.0830235481262207,-3.086766242980957,-1.8523972034454343,-1.849949836730957,-2.920663595199585,-2.921029806137085
-1.7682452201843262,-1.7726070880889893,-4.001041412353516,-4.005259990692139,-2.05329966545105,-2.0587196350097656
-1.7646514177322388,-1.7726070880889893,-4.020499706268311,-4.005259990692139,-2.0511436462402344,-2.0587196350097656
-3.091352939605713,-3.086766242980957,-1.8558549880981443,-1.849949836730957,-2.921321153640747,-2.921029806137085
-1.7682453393936155,-1.7726070880889893,-4.001040935516357,-4.005259990692139,-2.053299903869629,-2.0587196350097656
-1.76465106010437,-1.7726070880889893,-4.020499706268311,-4.005259990692139,-2.0511434078216557,-2.0587196350097656
-3.091353178024292,-3.086766242980957,-1.855855226516724,-1.849949836730957,-2.921321392059326,-2.921029806137085
-3.0830237865448,-3.086766242980957,-1.8523974418640137,-1.849949836730957,-2.920663833618164,-2.921029806137085
-3.083024024963379,-3.086766242980957,-1.8523975610733032,-1.849949836730957,-2.920664072036743,-2.921029806137085
-3.091353416442871,-3.086766242980957,-1.8558553457260127,-1.849949836730957,-2.9213216304779053,-2.921029806137085
-3.083024024963379,-3.086766242980957,-1.8523976802825928,-1.849949836730957,-2.920664072036743,-2.921029806137085
-3.091353178024292,-3.086766242980957,-1.855855107307434,-1.849949836730957,-2.921321392059326,-2.921029806137085
5.512436866760254,5.520360946655273,5.376948356628418,5.369309902191162,5.4080986976623535,5.427347183227539
5.512436866760254,5.520360946655273,5.376948356628418,5.369309902191162,5.4080986976623535,5.427347183227539
5.512436866760254,5.520360946655273,5.37694787979126,5.369309902191162,5.4080986976623535,5.427347183227539
5.512436866760254,5.520360946655273,5.376948356628418,5.369309902191162,5.4080986976623535,5.427347183227539
2.5044898986816406,2.492898464202881,2.6208598613739014,2.608926773071289,2.6345019340515137,2.603677988052368
2.364492893218994,2.353841781616211,2.6367104053497314,2.6221909523010254,2.3997507095336914,2.3958868980407715
2.5547642707824707,2.5715508460998535,2.1072564125061035,2.134826183319092,2.6411008834838867,2.6077427864074707
-2.3477940559387207,-2.3225884437561035,-3.8246781826019287,-3.8238861560821533,-1.9858829975128172,-1.9720300436019897
-3.1421990394592285,-3.1530773639678955,-1.914022207260132,-1.9045493602752686,-2.9494271278381348,-2.9584436416625977
-1.6182518005371094,-1.6284633874893188,-3.704499483108521,-3.7065579891204834,-2.8707494735717773,-2.870042085647583
-1.6823999881744385,-1.6755685806274414,-4.34949254989624,-4.341317176818848,-2.1067428588867188,-2.0913655757904053
-3.120857715606689,-3.119473934173584,-2.045461893081665,-2.0517585277557373,-2.986085891723633,-2.9854369163513184
-1.848744750022888,-1.861344575881958,-4.386044502258301,-4.365529537200928,-2.0456509590148926,-1.9948915243148804
-3.1421990394592285,-3.1530773639678955,-1.914022207260132,-1.9045493602752686,-2.949426651000977,-2.9584436416625977
-3.160975456237793,-3.1731016635894775,-2.1684865951538086,-2.166118860244751,-3.010104179382324,-3.0162065029144287
-3.157390594482422,-3.166078567504883,-1.8953007459640503,-1.9001275300979614,-3.0537028312683105,-3.0617928504943848
-3.1609749794006348,-3.1731016635894775,-2.168486356735229,-2.166118860244751,-3.010104179382324,-3.0162065029144287
-3.15739107131958,-3.166078567504883,-1.895301103591919,-1.9001275300979614,-3.0537028312683105,-3.0617928504943848
-3.120857715606689,-3.119473934173584,-2.045461654663086,-2.0517585277557373,-2.986085891723633,-2.9854369163513184
3.1858010292053223,3.1895949840545654,3.0462486743927,3.03066086769104,3.5454659461975098,3.558756113052368
5.783515453338623,5.804043769836426,5.504449844360352,5.502174377441406,5.205939769744873,5.217323303222656
5.241727828979492,5.247727394104004,5.445641994476318,5.440722942352295,5.687482833862305,5.685689449310303
5.241727828979492,5.247727394104004,5.445641994476318,5.440722942352295,5.687482833862305,5.685689449310303
5.783515453338623,5.804043769836426,5.504449844360352,5.502174377441406,5.205939769744873,5.217323303222656
2.422015190124512,2.439025402069092,2.357906579971313,2.355771064758301,2.526381731033325,2.524574041366577
2.425403118133545,2.4132070541381836,2.384556770324707,2.37796688079834,2.436594247817993,2.455310106277466
2.4642698764801025,2.4509849548339844,2.348050117492676,2.342031478881836,2.484588146209717,2.4828009605407715
-1.7698441743850708,-1.7810193300247192,-4.001081943511963,-4.0061726570129395,-2.0511791706085205,-2.056605339050293
-3.076322555541992,-3.06309175491333,-1.8509217500686648,-1.8483116626739502,-2.958115339279175,-2.9623219966888428
-1.7731399536132812,-1.7794313430786133,-4.1045331954956055,-4.117064952850342,-2.012893915176392,-2.034881353378296
-1.7700624465942385,-1.7787437438964844,-4.058365345001221,-4.052411079406738,-2.027154922485352,-2.0241951942443848
-3.0906755924224854,-3.0935630798339844,-1.8332346677780151,-1.8383815288543701,-2.9469757080078125,-2.9429433345794678
-1.7590999603271484,-1.756496787071228,-4.086961269378662,-4.079780101776123,-2.0689854621887207,-2.0518958568573
-3.076322555541992,-3.06309175491333,-1.8509217500686648,-1.8483116626739502,-2.958115339279175,-2.9623219966888428
-3.1236937046051025,-3.1195297241210938,-1.8719440698623655,-1.87091863155365,-2.979973793029785,-2.9835245609283447
-3.076953172683716,-3.0873866081237793,-1.8637129068374636,-1.8554966449737549,-2.896557331085205,-2.9129252433776855
-3.1236937046051025,-3.1195297241210938,-1.871943950653076,-1.87091863155365,-2.979973793029785,-2.9835245609283447
-3.076953172683716,-3.0873866081237793,-1.8637129068374636,-1.8554966449737549,-2.896557331085205,-2.9129252433776855
-3.0906758308410645,-3.0935630798339844,-1.833235025405884,-1.8383815288543701,-2.946975946426392,-2.9429433345794678
2.421957731246948,2.428375720977783,2.373110055923462,2.37199068069458,2.5009841918945312,2.5112009048461914
5.536637783050537,5.543689250946045,5.402331352233887,5.390535831451416,5.44084358215332,5.44376802444458
5.50025749206543,5.5019307136535645,5.411141872406006,5.4264068603515625,5.446609973907471,5.454793453216553
5.50025749206543,5.5019307136535645,5.411141872406006,5.4264068603515625,5.446609973907471,5.454793453216553
5.536638259887695,5.543689250946045,5.402331829071045,5.390535831451416,5.440844058990479,5.44376802444458
2.55237340927124,2.5471725463867188,2.610954523086548,2.618436098098755,2.6950130462646484,2.690199375152588
2.4702115058898926,2.4750211238861084,2.428391933441162,2.4219956398010254,2.570067405700684,2.5760762691497803
2.3738842010498047,2.3676342964172363,2.49548602104187,2.4817328453063965,2.441295623779297,2.4369914531707764
2.5209860801696777,2.5092997550964355,2.339895009994507,2.347593069076538,2.5277700424194336,2.5312659740448
-3.0626771450042725,-3.062084913253784,-1.8369861841201784,-1.84796142578125,-3.0101163387298584,-3.009800910949707
