ids,prediction,prediction,prediction,prediction,prediction,prediction,prediction,prediction,prediction
201.0,5.235831260681152,-2.3961472805922313e-08,-8.279150698342619e-09,-3.501398992966642e-08,5.235831260681152,1.0276226447558656e-07,5.400561331470044e-09,9.023476366110117e-08,5.235831260681152
201.0,5.921601295471191,-4.646095064231304e-09,-1.4826234462361754e-08,-9.913239118475303e-09,5.921601295471191,-3.01328348939478e-08,-2.9290868397424674e-08,-5.720976048451121e-08,5.681485176086426
201.0,5.921600818634033,1.8514711541683937e-08,1.57858508487152e-08,1.999771903626879e-08,5.681484699249268,-1.0194772670502061e-07,1.342654432079371e-09,-7.700583637415548e-08,5.921600818634033
201.0,5.681484699249268,3.014572058646081e-08,4.2735326388765316e-10,1.583181230557784e-08,5.921600818634033,4.2891596052641034e-08,8.849160515467247e-09,5.476574216345398e-08,5.921600818634033
201.0,-2.845064640045166,0.005987942684441805,0.005987896583974361,0.005987940821796656,-2.845064640045166,0.005987940821796656,0.005987904500216246,0.005987956654280424,-2.845064640045166
201.0,-2.845065116882324,-0.00598792964592576,-0.005987873766571283,-0.005987926851958036,-2.845065116882324,0.0059879072941839695,-0.005987872369587421,0.005987926851958036,-2.845065116882324
201.0,-2.845064878463745,-0.005987924057990313,0.005987864453345537,-0.005987937096506357,-2.845064878463745,-0.005987919867038727,0.005987887270748615,-0.005987926386296749,-2.845064878463745
201.0,-2.845064878463745,0.005987902637571096,-0.005987889599055052,0.005987924989312887,-2.845064878463745,-0.005987910553812981,-0.005987886339426041,-0.005987921729683876,-2.845064878463745
201.0,-2.845064640045166,0.00598790543153882,-0.005987908691167831,0.0059878951869904995,-2.845064640045166,-0.005987940821796656,-0.005987916607409716,-0.005987925920635462,-2.845064640045166
201.0,-2.845065116882324,-0.005987937096506357,0.005987879820168018,-0.0059879194013774395,-2.845065116882324,-0.005987919867038727,0.005987878423184156,-0.005987931974232197,-2.845065116882324
201.0,-2.845064878463745,-0.005987911950796843,-0.005987838841974735,-0.005987918470054865,-2.845064878463745,0.00598793663084507,-0.005987857934087515,0.005987918935716152,-2.845064878463745
201.0,-2.845064878463745,0.005987932905554771,0.005987878423184156,0.0059879496693611145,-2.845064878463745,0.005987893790006638,0.005987875163555145,0.005987892858684063,-2.845064878463745
